,genre,artist,track,popularity,danceability,instrumentalness,favorite,prediction
2614,Alternative,Solange,Cranes in the Sky,61,0.7190000000000001,0.000147,0,1
2652,Alternative,Smino,KLINK,57,0.794,0.0,0,1
2668,Alternative,BANKS,Gimme,63,0.759,4.49e-05,0,1
2711,Alternative,Noname,"Shadow Man (feat. Phoelix, Smino & Saba)",59,0.611,1.52e-06,0,1
2720,Alternative,DaniLeigh,Easy,59,0.8440000000000001,1.98e-06,0,1
2723,Alternative,Ari Lennox,Chicago Boy,56,0.675,5.66e-06,0,1
2751,Alternative,Col3trane,Superpowers (with GoldLink),60,0.584,0.0,0,1
2843,Alternative,Domo Genesis,Dapper,57,0.753,0.0,0,1
2845,Alternative,ELHAE,Bang Your Line (feat. Ty Dolla $ign),58,0.62,0.0,0,1
2855,Alternative,BANKS,Hawaiian Mazes,57,0.652,0.0004969999999999999,0,1
2857,Alternative,The Neighbourhood,Stuck with Me,59,0.5379999999999999,0.013999999999999999,0,1
2886,Alternative,Still Woozy,Vacation,54,0.606,0.0048200000000000005,0,1
2894,Alternative,The Roots,You Got Me,63,0.725,0.0,0,1
2907,Alternative,Blood Orange,Tuesday Feeling (Choose To Stay),56,0.573,5.7000000000000005e-06,0,1
2940,Alternative,Emotional Oranges,Built That Way,57,0.7040000000000001,1.56e-05,0,1
2960,Alternative,Dijon,Drunk,54,0.47200000000000003,0.0,0,1
2962,Alternative,6LACK,Loaded Gun,59,0.643,1.82e-05,0,1
3015,Alternative,Blood Orange,Take It Back,55,0.805,6.02e-06,0,1
3043,Alternative,Jai Paul,Do You Love Her Now,59,0.71,0.0204,0,1
3074,Alternative,Jai Paul,He,58,0.743,0.00524,0,1
3075,Alternative,Lolo Zouaï,Caffeine,55,0.746,0.000592,0,1
3124,Alternative,Omar Apollo,Hijo de Su Madre,54,0.8290000000000001,0.391,0,1
3164,Alternative,James Blake,I'll Come Too,57,0.6609999999999999,0.00275,0,1
3168,Alternative,Frank Ocean,Lens,57,0.6809999999999999,0.0,0,1
3198,Alternative,Urge Overkill,"Girl, You'll Be a Woman Soon",60,0.514,0.000183,0,1
3205,Alternative,James Blake,Barefoot In The Park (feat. ROSALÍA),63,0.5579999999999999,0.105,0,1
3281,Alternative,Smino,blkswn,54,0.716,0.0,0,1
3373,Alternative,BAYNK,Come Home,59,0.698,0.265,0,1
3389,Alternative,Lewis Del Mar,Wave(s),56,0.62,6.500000000000001e-05,0,1
3424,Alternative,Jacob Collier,It Don't Matter (feat. JoJo),53,0.6920000000000001,0.00139,0,1
3441,Alternative,GRAACE,Last Night,57,0.542,0.0,0,1
3466,Alternative,Raveena,Sweet Time,56,0.8190000000000001,0.00199,0,1
3480,Alternative,A Tribe Called Quest,Find a Way,59,0.773,0.0,0,1
3493,Alternative,Ari Lennox,I Been,52,0.67,0.00021600000000000002,0,1
3499,Alternative,Teyana Taylor,Hurry,58,0.696,0.0,0,1
3541,Alternative,Noah Slee,DGAF,57,0.804,0.000171,0,1
3589,Alternative,Nao,If You Ever (feat. 6LACK),60,0.488,3.0299999999999998e-05,0,1
3592,Alternative,Mahalia,Grateful,61,0.655,0.000176,0,1
3604,Alternative,Raveena,No Better,56,0.792,0.485,0,1
3923,Country,Kenny Rogers,Buy Me A Rose,48,0.636,1.93e-06,0,1
4748,Alternative,Ryan Trey,E30,52,0.73,0.0,0,1
4754,Alternative,Saba,BROKEN GIRLS,54,0.6629999999999999,0.0,0,1
4756,Alternative,Little Simz,101 FM,56,0.79,0.000371,0,1
4774,Alternative,León Larregui,Brillas,70,0.625,0.00103,0,1
4804,Alternative,Chloe x Halle,who knew - from Grown-ish,54,0.674,0.00399,0,1
4829,Alternative,Dr. Dog,The Breeze,58,0.611,2.68e-05,0,1
4882,Alternative,Brent Faiyaz,Trust,56,0.764,7.54e-05,0,1
4948,Alternative,BAYNK,go with u,60,0.787,6.26e-05,0,1
4962,Alternative,Metronomy,The Look,66,0.638,0.0391,0,1
5003,Alternative,6LACK,Been A While,55,0.442,1.7100000000000002e-05,0,1
5084,Alternative,Joji,Will He (Medasin Remix),52,0.614,0.000614,0,1
5091,Alternative,Easy Life,Sunday,55,0.7809999999999999,0.00375,0,1
5108,Alternative,Snoh Aalegra,Nothing Burns Like The Cold,58,0.517,0.00146,0,1
5179,Alternative,Langhorne Slim,Sea Of Love,57,0.5379999999999999,0.0006129999999999999,0,1
5264,Alternative,James Blake,Where's The Catch? (feat. André 3000),54,0.746,0.0005769999999999999,0,1
5311,Alternative,Raveena,Still Dreaming,54,0.746,0.0959,0,1
5329,Alternative,6LACK,Bless Me,54,0.474,0.0,0,1
5349,Alternative,Jhene Aiko,Hello Ego,53,0.6920000000000001,0.0,0,1
5422,Alternative,BADBADNOTGOOD,Time Moves Slow (feat. Sam Herring),51,0.619,0.0318,0,1
5433,Alternative,Radiohead,All I Need,57,0.6679999999999999,0.446,0,1
5487,Alternative,Noname,Reality Check (feat. Akenya & Eryn Allen Kane),54,0.722,0.0004940000000000001,0,1
5614,Alternative,Sabrina Claudio,Cross Your Mind,56,0.765,0.000269,0,1
5678,Alternative,Two Another,Keeping Me Under,59,0.795,0.000109,0,1
5738,Alternative,Kali Uchis,Tyrant (feat. Daniel Caesar) - Remix,51,0.6579999999999999,0.0,0,1
5747,Alternative,DRAMA,Low Tide,56,0.77,0.0708,0,1
5755,Alternative,Natalia Lafourcade,Tú Sí Sabes Quererme (feat. Los Macorinos),62,0.664,3.2e-06,0,1
5762,Alternative,LION BABE,Honey Dew,54,0.514,0.00675,0,1
5798,Alternative,Sarah Jarosz,Build Me Up From Bones,55,0.515,6.9e-05,0,1
5867,Alternative,Emotional Oranges,Good To Me,49,0.6759999999999999,0.0405,0,1
5925,Alternative,Childish Major,Happy Birthday (feat. SZA & Isaiah Rashad),49,0.741,0.000283,0,1
5944,Alternative,Emotional Oranges,Hold You Back,49,0.753,0.0271,0,1
6022,Alternative,Solange,Losing You,48,0.736,0.0856,0,1
6130,Alternative,Raveena,Temptation,51,0.7340000000000001,0.000851,0,1
6183,Alternative,BAYNK,Settle,57,0.763,0.0036200000000000004,0,1
6259,Alternative,Two Another,Coming Alive,57,0.5770000000000001,2.23e-06,0,1
6276,Alternative,Injury Reserve,Wax On (Feat. Freddie Gibbs),52,0.6659999999999999,0.0,0,1
6413,Alternative,TOPS,Way to be Loved,56,0.583,0.000691,0,1
6420,Alternative,Souly Had,Lifeline,45,0.835,4.33e-06,0,1
6487,Alternative,Cimafunk,Parar el Tiempo,55,0.84,7.99e-06,0,1
6498,Alternative,Smif-N-Wessun,Wreckonize - Remix Vocal,58,0.775,6.31e-06,0,1
6500,Alternative,Ximena Sariñana,¿Qué Tiene?,58,0.708,0.00462,0,1
6568,Alternative,Grizfolk,Believing,40,0.61,0.000737,0,1
6573,Alternative,Red Hot Chili Peppers,This Velvet Glove,54,0.607,2.94e-05,0,1
6616,Alternative,Hiatus Kaiyote,Nakamarra (feat. Q-Tip),55,0.552,5.21e-05,0,1
6630,Alternative,Summer Walker,Settling,49,0.609,0.00126,0,1
6634,Alternative,Chloe x Halle,Down,49,0.6940000000000001,0.0,0,1
6827,Alternative,Satin Jackets,Northern Lights,56,0.685,0.166,0,1
6866,Alternative,GoldLink,Pray Everyday (Survivor's Guilt),51,0.755,9.42e-06,0,1
8720,Country,Johnny Cash,Don't You Think It's Come Our Time (with June Carter Cash),42,0.64,3.12e-05,0,1
9030,Dance,Ariana Grande,NASA,91,0.747,0.0,0,1
9035,Dance,Ariana Grande,fake smile,90,0.45,0.0,0,1
9041,Dance,Ariana Grande,in my head,88,0.662,0.00013700000000000002,0,1
9047,Dance,Ariana Grande,no tears left to cry,90,0.6990000000000001,3.11e-06,0,1
9062,Dance,Bebe Rexha,I'm a Mess,86,0.63,0.0,0,1
9069,Dance,Lauv,There's No Way (feat. Julia Michaels),85,0.755,0.0,0,1
9080,Dance,Shawn Mendes,In My Blood,87,0.622,0.0,0,1
9082,Dance,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,84,0.601,1.68e-06,0,1
9092,Dance,Halsey,Without Me (with Juice WRLD),80,0.742,0.0,0,1
9106,Dance,Zara Larsson,Ruin My Life,88,0.665,0.0,0,1
9111,Dance,Ariana Grande,R.E.M,77,0.831,1.47e-05,0,1
9112,Dance,Ariana Grande,Dangerous Woman,81,0.662,0.0,0,1
9117,Dance,Lady Gaga,Million Reasons,83,0.665,0.0,0,1
9127,Dance,Hailee Steinfeld,Most Girls,79,0.76,0.0,0,1
9135,Dance,Julia Michaels,Anxiety (with Selena Gomez),83,0.8029999999999999,0.0,0,1
9159,Alternative,RKCB,Vice,52,0.6509999999999999,0.000363,0,1
9160,Alternative,Ravyn Lenae,Computer Luv (feat. Steve Lacy),49,0.595,0.0,0,1
9237,Alternative,Lewis Del Mar,Loud(y),49,0.7120000000000001,2.61e-05,0,1
9256,Alternative,MARINA,Superstar,54,0.7090000000000001,0.0,0,1
9263,Alternative,Manu Chao,Clandestino,60,0.68,0.0,0,1
9302,Alternative,Ravyn Lenae,Closer (Ode 2 U),49,0.706,0.0,0,1
9542,Alternative,6LACK,MTFU,50,0.467,2.8100000000000002e-05,0,1
9621,Alternative,Earl Sweatshirt,AM // Radio,48,0.47,0.00718,0,1
9732,Alternative,Yeek,Seven,43,0.809,0.0005690000000000001,0,1
9774,Alternative,JPEGMAFIA,Thug Tears,50,0.8809999999999999,0.000223,0,1
9844,Alternative,Cultura Profética,Llevarte Allí,57,0.774,0.0021100000000000003,0,1
10019,Alternative,Mahalia,Surprise Me,56,0.6809999999999999,0.0188,0,1
10065,Alternative,Aesop Rock,Daylight,48,0.564,0.00109,0,1
10246,Alternative,Lucky Daye,Ready For Love (Interlude),46,0.7090000000000001,0.00043499999999999995,0,1
10278,Alternative,Iris Temple,Lemonade,45,0.5589999999999999,0.00045700000000000005,0,1
10528,Alternative,Pearl Jam,Wishlist,53,0.623,0.00412,0,1
10939,Alternative,Lecrae,River Of Jordan (feat. Breyan Isaac),44,0.731,4.05e-06,0,1
11140,Alternative,Col3trane,Problems In Us,51,0.757,0.00112,0,1
11233,Alternative,Tenacious D,Dude (I Totally Miss You),48,0.627,6.92e-05,0,1
11348,Alternative,Col3trane,The Fruits,50,0.758,0.0011,0,1
11354,Alternative,Stwo,Enough (About Me) (feat. The-Dream),48,0.594,0.00107,0,1
11480,Alternative,Elijah Blake,Sky Blue,48,0.6759999999999999,0.000156,0,1
11681,Alternative,Jakob Ogawa,Up and Away,45,0.518,0.0009429999999999999,0,1
11751,Alternative,AZ,Sugar Hill,47,0.6829999999999999,6.29e-06,0,1
11798,Alternative,Joe Hertz,Goodbye Kisses,52,0.6829999999999999,4.67e-06,0,1
11913,Alternative,Shanti Dope,Nadarang,61,0.8390000000000001,0.0,0,1
11914,Alternative,Aeris Roves,Delilah,52,0.8140000000000001,1.62e-06,0,1
11994,Alternative,PREP,Line by Line,53,0.8270000000000001,8.68e-05,0,1
12006,Alternative,Cultura Profética,Para estar,54,0.799,0.0009140000000000001,0,1
12035,Alternative,Hiatus Kaiyote,Fingerprints,49,0.6,0.0466,0,1
12077,Alternative,Shy Girls,Lay And Be Lonely,46,0.737,0.0007,0,1
12238,Alternative,CZARFACE,Bomb Thrown,46,0.574,0.157,0,1
12283,Alternative,Stwo,Haunted (feat. Sevdaliza),46,0.623,0.0166,0,1
12314,Alternative,Raveena,Mama,43,0.594,0.0193,0,1
12322,Alternative,Inspector,Amnesia,62,0.505,0.0,0,1
12355,Alternative,Rawayana,Mamita (feat. Natalia Lafourcade),55,0.8170000000000001,0.000459,0,1
12461,Alternative,Saba,Where It's At,44,0.626,6.69e-05,0,1
12628,Alternative,Solange,Borderline (An Ode to Self Care),46,0.69,0.0016,0,1
12677,Alternative,Sango,Sweet Holy Honey,45,0.626,0.00381,0,1
12746,Alternative,Jakob Ogawa,Sunshine Girl - Pt. 2,42,0.861,0.0263,0,1
12792,Alternative,anders,Problems,49,0.797,0.0117,0,1
13172,Alternative,Poolside,And The Sea,47,0.718,0.789,0,1
13198,Alternative,Ravyn Lenae,Last Breath - EP Version,46,0.474,0.00364,0,1
13581,Dance,Alec Benjamin,If We Have Each Other,77,0.6559999999999999,0.0,0,1
13582,Dance,Liam Payne,Strip That Down,81,0.8740000000000001,0.0,0,1
13597,Dance,Alec Benjamin,Water Fountain,75,0.723,7.4e-05,0,1
13600,Dance,Camila Cabello,Never Be the Same,81,0.637,0.000637,0,1
13625,Dance,Julia Michaels,Jump (with Trippie Redd),77,0.654,0.0,0,1
13628,Dance,Alessia Cara,Scars To Your Beautiful,75,0.573,0.0,0,1
13632,Dance,Ansel Elgort,Supernova,77,0.764,0.0,0,1
13636,Dance,Normani,Waves (feat. 6LACK),76,0.578,0.0,0,1
13639,Dance,Jeremy Zucker,talk is overrated,73,0.759,0.0,0,1
13642,Dance,Zedd,Stay (with Alessia Cara),82,0.69,0.0,0,1
13646,Dance,Halsey,Gasoline,76,0.731,0.0,0,1
13647,Dance,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),72,0.731,1.9600000000000002e-05,0,1
13649,Dance,Hailee Steinfeld,Capital Letters,81,0.6609999999999999,8.27e-06,0,1
13651,Dance,Dexys Midnight Runners,Come On Eileen,72,0.45,3.14e-06,0,1
13656,Dance,Ariana Grande,pete davidson,75,0.652,1.1599999999999999e-05,0,1
13662,Dance,Rihanna,Take A Bow,79,0.6970000000000001,0.0,0,1
13666,Dance,Meghan Trainor,Like I'm Gonna Lose You,79,0.63,0.0,0,1
13677,Dance,Shawn Mendes,Youth (feat. Khalid),80,0.534,0.0,0,1
13686,Dance,P!nk,What About Us,78,0.489,2.11e-06,0,1
13688,Dance,Justin Timberlake,Cry Me a River,77,0.624,0.0,0,1
13689,Dance,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),72,0.728,0.0,0,1
13698,Dance,Bazzi,Star,72,0.6940000000000001,0.0,0,1
13706,Dance,Ariana Grande,7 rings (feat. 2 Chainz) - Remix,73,0.78,0.0,0,1
13733,Dance,Kehlani,Nunya (feat. Dom Kennedy),73,0.675,0.0,0,1
13736,Dance,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),80,0.8029999999999999,3.94e-06,0,1
13739,Dance,Clean Bandit,I Miss You (feat. Julia Michaels),83,0.693,7.64e-06,0,1
13751,Dance,PRETTYMUCH,Summer on You,74,0.8109999999999999,0.0,0,1
13754,Dance,ZAYN,Good Years,78,0.638,0.0,0,1
13762,Dance,Kehlani,RPG (feat. 6lack),72,0.76,0.0,0,1
13764,Dance,NOTD,I Wanna Know (feat. Bea Miller),79,0.6609999999999999,0.0,0,1
13772,Dance,Taylor Swift,Blank Space,68,0.752,1.64e-06,0,1
13776,Dance,P!nk,Just Give Me a Reason (feat. Nate Ruess),72,0.778,0.000302,0,1
13779,Dance,David Guetta,Titanium (feat. Sia),67,0.599,0.13699999999999998,0,1
13780,Dance,Jhene Aiko,Sativa,75,0.741,0.0,0,1
13781,Dance,Lorde,Royals,77,0.616,0.0,0,1
13783,Dance,David Guetta,2U,69,0.542,0.0,0,1
13804,Dance,Taylor Swift,I Did Something Bad,72,0.696,2.11e-05,0,1
13814,Dance,The Chainsmokers,Sick Boy,78,0.6629999999999999,0.0,0,1
13841,Dance,Kiiara,Gold,72,0.6,0.0025,0,1
13848,Dance,Alesso,REMEDY,83,0.601,0.0,0,1
13849,Dance,Nicki Minaj,Chun-Li,76,0.69,5.08e-05,0,1
13864,Dance,OneRepublic,Apologize,71,0.591,0.000118,0,1
13865,Dance,Conan Gray,Generation Why,70,0.561,2.93e-06,0,1
13869,Dance,Miley Cyrus,Malibu,79,0.573,2.64e-05,0,1
13870,Dance,Clean Bandit,Symphony (feat. Zara Larsson),81,0.7070000000000001,1.6e-05,0,1
13872,Dance,Selena Gomez,Back To You,76,0.6,1.26e-06,0,1
13875,Dance,Taylor Swift,Don’t Blame Me,71,0.615,1.76e-05,0,1
13885,Dance,Justin Bieber,What Do You Mean?,78,0.8370000000000001,0.000898,0,1
13888,Dance,Ariana Grande,Best Mistake,72,0.654,0.0,0,1
13896,Dance,Avicii,Hey Brother,78,0.537,6.12e-05,0,1
13909,Dance,Taylor Swift,Gorgeous,72,0.8,9.48e-06,0,1
13910,Dance,Camila Cabello,All These Years,75,0.732,0.0,0,1
13928,Dance,Lauv,Getting Over You,73,0.604,2.27e-06,0,1
13938,Dance,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),79,0.659,0.0,0,1
13942,Dance,One Direction,They Don't Know About Us,75,0.512,0.0,0,1
13946,Dance,Kehlani,The Way (feat. Chance the Rapper),69,0.746,0.0,0,1
13949,Dance,Colbie Caillat,Bubbly,70,0.664,0.0,0,1
13964,Dance,Lauv,Chasing Fire,74,0.7090000000000001,0.0,0,1
13973,Dance,Noah Cyrus,Make Me (Cry),71,0.588,0.00146,0,1
13977,Dance,Niall Horan,Seeing Blind,72,0.7090000000000001,0.0,0,1
13982,Dance,Avicii,Lonely Together (feat. Rita Ora),79,0.65,2.8199999999999998e-05,0,1
13985,Dance,Jhene Aiko,Never Call Me (feat. YG) - Remix,73,0.595,0.0,0,1
13987,Dance,Miley Cyrus,Wrecking Ball,75,0.53,0.0,0,1
13991,Dance,Gryffin,Just For A Moment (feat. Iselin),73,0.53,1.6899999999999997e-05,0,1
13997,Dance,Olivia O'Brien,Tequilawine,71,0.705,0.0,0,1
14014,Dance,Taylor Swift,Wildest Dreams,65,0.5529999999999999,0.0056,0,1
14018,Dance,Zendaya,Replay,69,0.688,0.0002,0,1
14020,Dance,Luis Fonsi,Despacito,69,0.665,0.0,0,1
14031,Dance,Why Don't We,Cold In LA,74,0.6759999999999999,3.35e-06,0,1
14038,Dance,Jason Derulo,Trumpets,68,0.635,0.0,0,1
14039,Dance,Sasha Sloan,Faking It,66,0.647,0.0,0,1
14042,Dance,Hailee Steinfeld,"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",72,0.52,0.0,0,1
14046,Dance,ZAYN,Common,71,0.633,0.0,0,1
14048,Dance,PLVTINUM,Champagne & Sunshine (Ellusive Remix),71,0.568,0.0,0,1
14054,Dance,Camila Cabello,OMG,72,0.655,0.115,0,1
14066,Dance,Noah Cyrus,Live or Die,71,0.71,0.0,0,1
14070,Dance,MKTO,How Can I Forget,75,0.7959999999999999,0.0,0,1
14073,Dance,Camila Cabello,She Loves Control,74,0.65,0.0,0,1
14082,Dance,Nick Jonas,Close,72,0.653,0.0,0,1
14093,Dance,Luis Fonsi,Sola,79,0.569,0.0,0,1
14119,Dance,Hayley Kiyoko,What I Need (feat. Kehlani),71,0.633,0.0,0,1
14122,Dance,T-Pain,Bartender,71,0.675,0.0,0,1
14123,Dance,ZAYN,Let Me,75,0.46,5.93e-06,0,1
14133,Dance,Lana Del Rey,Lust For Life (with The Weeknd),71,0.504,0.00193,0,1
14140,Dance,Noah Cyrus,Team,69,0.6629999999999999,0.0,0,1
14145,Dance,Backstreet Boys,Shape of My Heart,75,0.575,0.0,0,1
14148,Dance,Olivia O'Brien,Fuck Feelings,70,0.8170000000000001,0.0,0,1
14154,Dance,Jonas Blue,Fast Car,72,0.56,0.0,0,1
14166,Dance,Taylor Swift,Dress,68,0.7190000000000001,0.0,0,1
14189,Dance,Jason Derulo,Whatcha Say,66,0.615,0.0,0,1
14191,Dance,David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",61,0.596,0.0,0,1
14199,Dance,P!nk,Beautiful Trauma,73,0.41200000000000003,2.55e-06,0,1
14223,Dance,Lennon Stella,Bad,68,0.8270000000000001,1.25e-05,0,1
14230,Dance,Trey Songz,Solid,70,0.574,0.0,0,1
14247,Dance,Julia Michaels,Into You,70,0.6920000000000001,0.0,0,1
14253,Dance,Alessia Cara,Here,67,0.376,0.0,0,1
14259,Dance,Ruel,Not Thinkin' Bout You,71,0.66,0.0,0,1
14267,Dance,Lorde,Homemade Dynamite - REMIX,70,0.7809999999999999,0.0,0,1
14274,Dance,Cheat Codes,Only You,67,0.607,0.0,0,1
14280,Dance,Jhene Aiko,The Worst,70,0.524,1.19e-06,0,1
14284,Dance,PRETTYMUCH,"10,000 Hours",68,0.616,0.0,0,1
14358,Dance,Flume,Say It - Illenium Remix,64,0.48200000000000004,0.00498,0,1
14368,Dance,Shawn Mendes,I Know What You Did Last Summer,65,0.695,0.0,0,1
14371,Dance,Charlie Puth,Marvin Gaye (feat. Meghan Trainor),73,0.795,0.0,0,1
14381,Dance,Ying Yang Twins,Get Low,72,0.521,0.0,0,1
14403,Dance,Macklemore & Ryan Lewis,Same Love - feat. Mary Lambert,68,0.688,4.46e-05,0,1
14410,Dance,Kiiara,Messy,68,0.893,0.0,0,1
14411,Dance,Chris Brown,Party,68,0.762,0.0,0,1
14450,Dance,Jeremih,Love Don't Change,68,0.539,0.0,0,1
14451,Dance,Bruno Mars,Gorilla,69,0.7170000000000001,5.16e-06,0,1
14470,Dance,Justin Bieber,Company,72,0.617,0.0,0,1
14482,Dance,Fantasia,When I See U,68,0.569,8.99e-05,0,1
14484,Dance,Conan Gray,The Other Side,64,0.602,3.289999999999999e-05,0,1
14486,Dance,Astrid S,Hurts So Good,72,0.675,0.0,0,1
14493,Dance,Alec Benjamin,Annabelle's Homework,64,0.6759999999999999,1.63e-06,0,1
14515,Dance,Lady Gaga,Applause,68,0.669,1.63e-06,0,1
14552,Dance,Shawn Mendes,When You're Ready,70,0.485,0.0,0,1
14553,Dance,Olivia O'Brien,Love Myself,68,0.653,0.0,0,1
14554,Dance,Lauv,Easy Love,67,0.745,3.67e-06,0,1
14555,Dance,Alesso,Heroes (we could be),74,0.503,0.0,0,1
14577,Dance,Beyoncé,Flawless Remix,68,0.639,8.33e-06,0,1
14590,Dance,Rihanna,Hate That I Love You,72,0.637,0.0,0,1
14593,Dance,Mandy Moore,"I've Got a Dream - From ""Tangled""/Soundtrack Version",63,0.604,0.0,0,1
14609,Dance,Halsey,Hold Me Down,66,0.677,0.0,0,1
14617,Dance,Charlotte Lawrence,Just The Same,67,0.736,0.0,0,1
14625,Dance,James TW,Soldier,72,0.531,0.0,0,1
14647,Dance,Alec Benjamin,Swim,64,0.737,0.000363,0,1
14653,Dance,Alec Benjamin,Stan - Recorded at Spotify Studios NYC,65,0.693,0.0,0,1
14658,Dance,The Clash,London Calling - Remastered,73,0.6509999999999999,0.0,0,1
14682,Dance,Jagged Edge,Where the Party At,69,0.596,0.0,0,1
14703,Dance,Mariah Carey,Caution,65,0.71,0.0,0,1
14717,Dance,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",67,0.513,0.0,0,1
14721,Dance,T-Pain,1UP (feat. Profit Dinero),54,0.705,0.0,0,1
14729,Dance,Ne-Yo,Sexy Love,68,0.622,0.00047300000000000006,0,1
14739,Dance,Nina Nesbitt,Is It Really Me You're Missing,72,0.535,0.0,0,1
14757,Dance,James Arthur,Certain Things (feat. Chasing Grace),68,0.406,9.719999999999999e-05,0,1
